id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,fplid,xG90,npxG90,xA90
2249,James Rodríguez,23,1802,6,3.3635378424078226,4,5.439711567014456,37,40,4,0,F M S,Everton,6,3.3635378424078226,12.033004865050314,7.104181377217174,508,0.1679902363022775,0.1679902363022775,0.27168370756453997
2381,Rodrigo Moreno,24,1159,6,4.995800955221057,1,2.4225250221788883,43,27,3,0,M S,Leeds,6,4.995800955221057,9.94811960309744,3.671366726979613,492,0.38793967728204926,0.38793967728204926,0.18811669714935284
5656,Nicolas Pepe,27,1422,6,5.330981210805477,1,1.0121600376442077,41,11,1,1,F M S,Arsenal,5,4.5698123909533015,7.926333265379071,3.4535441044718027,18,0.33740387410161243,0.2892286323388165,0.06406076187621568
5956,Youri Tielemans,36,3179,6,4.168203926645218,4,3.118208749219775,48,44,6,0,M S,Leicester,4,2.64586631115526,18.497013844549656,14.539075847715141,228,0.11800514419568092,0.07490656432965505,0.0882789516922868
6026,Richarlison,32,2713,6,10.330149302259088,3,3.2358774952590466,76,23,3,1,F M S,Everton,5,9.568980464711784,15.437007538974285,5.0061380323022595,166,0.342688329230858,0.3174376121725251,0.1073457333480701
6630,Joe Willock,19,1035,6,4.290010202676058,0,0.6857041846960783,18,8,1,0,M S,"Arsenal,Newcastle United",6,3.5288414247334003,6.160992857068777,2.834351916797459,20,0.373044365450092,0.30685577606377396,0.059626450843137245
7768,Mason Mount,34,2711,6,5.782994152978063,5,9.015260664746163,74,82,2,0,F M S,Chelsea,5,5.02182532660663,19.475172278471288,11.345077167265115,120,0.19198431345187222,0.16671496842294234,0.29928936179533555
8026,Raphinha,28,2189,6,5.870948482304812,8,8.50919121876359,63,59,3,0,M S,Leeds,6,5.870948482304812,15.440061658620836,5.74265200830996,570,0.24138207556301192,0.24138207556301192,0.3498525398303897
447,Kevin De Bruyne,24,1918,5,9.908439546823502,11,10.003762649372222,79,72,1,0,M S,Manchester City,3,7.624932937324048,21.079131573438644,10.63644755631685,272,0.46494241877691095,0.3577914308441941,0.4694153485106882
935,Kurt Zouma,23,2023,5,3.136853445321321,0,0.08146697096526623,27,4,3,0,D S,Chelsea,5,3.136853445321321,6.216146335937082,6.133133308030665,110,0.139553539337083,0.139553539337083,0.003624333854114662
